clave,monto_exp,pct,programa,decil,cve_ent,año
P043,602608.1599999999,22.93,PROCAMPO/ProAgro,9,32,2020
P108,545899.85,100.0,JCF,2,32,2022
P108,3987721.9600000004,71.49,JCF,3,32,2022
P105,814474.05,14.6,Discapacidad,3,32,2022
P043,775690.5,13.91,PROCAMPO/ProAgro,3,32,2022
P108,5144120.28,100.0,JCF,4,32,2022
P108,1396368.69,100.0,JCF,5,32,2022
P108,3899968.05,65.84,JCF,6,32,2022
P105,876529.7,14.8,Discapacidad,6,32,2022
P101,566371.8200000001,9.56,Benito Juarez basica,6,32,2022
P048,384264.68,6.49,Otros programas sociales,6,32,2022
P103,196707.03999999998,3.32,Jov Escribiendo,6,32,2022
P104,268532.37,45.45,Adultos mayores,8,32,2022
P108,179021.58,30.3,JCF,8,32,2022
P101,143215.80000000002,24.24,Benito Juarez basica,8,32,2022
P104,3239997.1199999996,88.51,Adultos mayores,1,32,2024
P108,420748.12999999995,11.49,JCF,1,32,2024
P108,7076669.59,92.27,JCF,3,32,2024
P043,592825.56,7.73,PROCAMPO/ProAgro,3,32,2024
