año,cve_mun,cve_ent,candidatos_estimados,beneficiarios,tasa
2023,07003,07,2226,109,0.048966756513926325
2024,07003,07,2242,36,0.016057091882247992
2025,07003,07,2260,70,0.030973451327433628
2019,07004,07,4858,1016,0.20913956360642239
2020,07004,07,4878,1236,0.25338253382533826
2021,07004,07,4907,1061,0.21622172406765844
2022,07004,07,4934,632,0.12809079854073774
2023,07004,07,4963,186,0.03747733225871449
2024,07004,07,4997,8,0.0016009605763458075
2025,07004,07,5039,0,0.0
2019,07005,07,3043,477,0.15675320407492607
2020,07005,07,3055,538,0.17610474631751227
2021,07005,07,3073,572,0.1861373250894891
2022,07005,07,3090,396,0.12815533980582525
2023,07005,07,3108,193,0.0620978120978121
2024,07005,07,3130,34,0.010862619808306708
2025,07005,07,3156,0,0.0
2019,07006,07,3047,384,0.12602559894978668
2020,07006,07,3060,523,0.17091503267973857
2021,07006,07,3078,627,0.2037037037037037
2022,07006,07,3095,486,0.15702746365105008
2023,07006,07,3113,96,0.030838419530999035
2024,07006,07,3135,7,0.0022328548644338117
2025,07006,07,3161,77,0.024359379943055995
2019,07007,07,1104,114,0.10326086956521739
2020,07007,07,1109,111,0.10009017132551848
2021,07007,07,1116,51,0.0456989247311828
2022,07007,07,1122,144,0.12834224598930483
2023,07007,07,1128,146,0.12943262411347517
2024,07007,07,1136,113,0.0994718309859155
2025,07007,07,1146,169,0.1474694589877836
2019,07008,07,2785,1201,0.4312387791741472
2020,07008,07,2796,1424,0.5092989985693849
2021,07008,07,2812,898,0.31934566145092463
2022,07008,07,2828,659,0.23302687411598302
2023,07008,07,2845,115,0.040421792618629174
2024,07008,07,2864,25,0.008729050279329608
2025,07008,07,2888,0,0.0
2019,07009,07,2207,1281,0.5804259175351155
2020,07009,07,2216,1275,0.5753610108303249
2021,07009,07,2229,681,0.30551816958277256
2022,07009,07,2241,723,0.32262382864792505
2023,07009,07,2255,328,0.14545454545454545
2024,07009,07,2270,250,0.11013215859030837
2025,07009,07,2289,107,0.04674530362603757
2019,07010,07,912,64,0.07017543859649122
2020,07010,07,916,105,0.1146288209606987
2021,07010,07,921,151,0.16395222584147665
2022,07010,07,926,145,0.15658747300215983
2023,07010,07,932,41,0.043991416309012876
