macrotema,monto_exp,pct,decil,cve_ent,año
Trabajo,34408764.95,91.71,10,18,2020
Programas sociales y becas,2838571.41,7.57,10,18,2020
Percepciones financieras y de capital,272949.0,0.73,10,18,2020
Trabajo,4227185.83,72.01,5,18,2022
Negocio propio,1643497.0999999999,27.99,5,18,2022
Trabajo,7076064.18,67.9,6,18,2022
Programas sociales y becas,3345048.68,32.1,6,18,2022
Trabajo,16414114.53,45.27,8,18,2022
Transferencias,14039293.600000001,38.72,8,18,2022
Programas sociales y becas,4335090.17,11.96,8,18,2022
Negocio propio,1445556.44,3.99,8,18,2022
Percepciones financieras y de capital,25508.069999999996,0.07,8,18,2022
Trabajo,26591546.88,74.87,10,18,2022
Transferencias,7979015.04,22.47,10,18,2022
